file,lines,line_span,classification,reason
"src/app/api/ambiguous-time/[id]/resolve/route.ts","41","1-41","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (surfaces); refactor to Google/web-only."
"src/app/api/approvals/[id]/approve/route.test.ts","147","1-147","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, surfaces); refactor to Google/web-only."
"src/app/api/approvals/[id]/approve/route.ts","140","1-140","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram, surfaces); refactor to Google/web-only."
"src/app/api/approvals/[id]/deny/route.test.ts","221","1-221","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (discord, surfaces); refactor to Google/web-only."
"src/app/api/approvals/[id]/deny/route.ts","196","1-196","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram, surfaces); refactor to Google/web-only."
"src/app/api/approvals/route.test.ts","74","1-74","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, surfaces); refactor to Google/web-only."
"src/app/api/approvals/route.ts","62","1-62","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (surfaces); refactor to Google/web-only."
"src/app/api/calendar/sync/reconcile/route.ts","184","1-184","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/app/api/context/attention/route.ts","20","1-20","DEFER_POST_MVP","Attention context API depends on deferred memory/search features."
"src/app/api/drafts/[id]/route.ts","126","1-126","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (surfaces); refactor to Google/web-only."
"src/app/api/drafts/[id]/send/route.ts","103","1-103","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (surfaces); refactor to Google/web-only."
"src/app/api/google/contacts/route.ts","24","1-24","DEFER_POST_MVP","Google contacts enrichment can be deferred for launch."
"src/app/api/integrations/status/route.test.ts","78","1-78","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/app/api/jobs/memory-decay/route.ts","52","1-52","DEFER_POST_MVP","Memory lifecycle jobs can be deferred for MVP."
"src/app/api/jobs/memory-lifecycle/route.ts","33","1-33","DEFER_POST_MVP","Memory lifecycle jobs can be deferred for MVP."
"src/app/api/jobs/process-embeddings/route.ts","55","1-55","DEFER_POST_MVP","Embedding pipeline can be deferred for MVP."
"src/app/api/jobs/process-search-index/route.ts","141","1-141","DEFER_POST_MVP","Search indexing jobs can be deferred with unified search prune."
"src/app/api/jobs/record-memory/route.ts","775","1-775","DEFER_POST_MVP","Memory recording pipeline can be deferred for MVP."
"src/app/api/memory/export/route.ts","88","1-88","DEFER_POST_MVP","Memory APIs are optional and can be deferred for MVP."
"src/app/api/memory/forget/route.ts","143","1-143","DEFER_POST_MVP","Memory APIs are optional and can be deferred for MVP."
"src/app/api/memory/recall/route.ts","40","1-40","DEFER_POST_MVP","Memory APIs are optional and can be deferred for MVP."
"src/app/api/notifications/[id]/read/route.test.ts","71","1-71","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/[id]/read/route.ts","66","1-66","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/fallback/route.test.ts","97","1-97","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/fallback/route.ts","102","1-102","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/read-all/route.test.ts","44","1-44","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/read-all/route.ts","50","1-50","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/route.test.ts","44","1-44","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/route.ts","31","1-31","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/unread-count/route.test.ts","39","1-39","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/notifications/unread-count/route.ts","41","1-41","PRUNE_MVP","Notification API surface outside MVP launch requirement."
"src/app/api/schedule-proposal/[id]/resolve/route.ts","50","1-50","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (surfaces); refactor to Google/web-only."
"src/app/api/search/unified/route.ts","221","1-221","PRUNE_MVP","Unified search API is outside provider-first MVP path."
"src/app/api/slack/callback/route.ts","171","1-171","PRUNE_MVP","Non-MVP Slack connector API surface."
"src/app/api/slack/disconnect/route.ts","28","1-28","PRUNE_MVP","Non-MVP Slack connector API surface."
"src/app/api/slack/install-url/route.ts","54","1-54","PRUNE_MVP","Non-MVP Slack connector API surface."
"src/app/api/surfaces/actions/route.test.ts","159","1-159","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/actions/route.ts","207","1-207","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/identity/route.test.ts","112","1-112","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/identity/route.ts","64","1-64","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/inbound/ack/route.test.ts","70","1-70","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/inbound/ack/route.ts","78","1-78","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/inbound/route.test.ts","152","1-152","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/inbound/route.ts","259","1-259","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/link-token/route.ts","69","1-69","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/link/route.ts","54","1-54","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/session/resolve/route.test.ts","82","1-82","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/surfaces/session/resolve/route.ts","125","1-125","PRUNE_MVP","Cross-surface API transport outside MVP web+Google scope."
"src/app/api/tasks/triage/action/route.ts","79","1-79","PRUNE_MVP","Task triage APIs are outside MVP scope."
"src/app/api/tasks/triage/audit/route.ts","24","1-24","PRUNE_MVP","Task triage APIs are outside MVP scope."
"src/app/api/tasks/triage/route.ts","39","1-39","PRUNE_MVP","Task triage APIs are outside MVP scope."
"src/env.ts","314","1-314","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, slack, surfaces); refactor to Google/web-only."
"src/server/README.md","63","1-63","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, slack, surfaces); refactor to Google/web-only."
"src/server/features/ai/README.md","82","1-82","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram, surfaces); refactor to Google/web-only."
"src/server/features/ai/actions.ts","1252","1-1252","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (surfaces); refactor to Google/web-only."
"src/server/features/ai/message-processor.ts","1042","1-1042","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (outlook, slack, discord, telegram, surfaces); refactor to Google/web-only."
"src/server/features/ai/policy/enforcement.ts","199","1-199","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram); refactor to Google/web-only."
"src/server/features/ai/runtime/attempt-loop.ts","594","1-594","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram); refactor to Google/web-only."
"src/server/features/ai/runtime/harness/tool-events.test.ts","95","1-95","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/ai/runtime/mcp-tools.test.ts","131","1-131","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/ai/runtime/response-writer.ts","154","1-154","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram); refactor to Google/web-only."
"src/server/features/ai/runtime/telemetry/schema.test.ts","54","1-54","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/ai/step-budget.test.ts","70","1-70","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/ai/system-prompt.test.ts","29","1-29","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/ai/system-prompt.ts","69","1-69","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram); refactor to Google/web-only."
"src/server/features/ai/tools/policy/policy-resolver.test.ts","94","1-94","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, slack); refactor to Google/web-only."
"src/server/features/ai/tools/providers/calendar.ts","502","1-502","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/ai/tools/providers/email.ts","1137","1-1137","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, slack); refactor to Google/web-only."
"src/server/features/ai/tools/runtime/capabilities/task.test.ts","181","1-181","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/approvals/authorization.ts","168","1-168","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram, surfaces); refactor to Google/web-only."
"src/server/features/approvals/service.test.ts","175","1-175","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack); refactor to Google/web-only."
"src/server/features/approvals/types.ts","37","1-37","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (slack, discord, telegram); refactor to Google/web-only."
"src/server/features/assistant-email/README.md","12","1-12","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/assistant-email/is-assistant-email.test.ts","85","1-85","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/assistant-email/is-assistant-email.ts","36","1-36","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/assistant-email/process-assistant-email.ts","289","1-289","PRUNE_MVP","Assistant-email side channel outside MVP secretary scope."
"src/server/features/calendar/README.md","41","1-41","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, surfaces); refactor to Google/web-only."
"src/server/features/calendar/action-log.ts","55","1-55","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/adaptive-replanner.ts","381","1-381","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/availability-types.ts","22","1-22","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/canonical-state.ts","506","1-506","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/event-provider.ts","95","1-95","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/event-types.ts","91","1-91","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/oauth-callback-helpers.ts","175","1-175","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/oauth-types.ts","43","1-43","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/providers/microsoft-availability.test.ts","263","1-263","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/providers/microsoft-availability.ts","122","1-122","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/providers/microsoft-events.ts","292","1-292","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/providers/microsoft.ts","204","1-204","PRUNE_MVP","Outlook calendar provider implementation outside Google Calendar MVP."
"src/server/features/calendar/scheduling/adapters/CalendarProviderAdapter.ts","118","1-118","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/selection-invariant.ts","340","1-340","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/sync/microsoft.ts","218","1-218","PRUNE_MVP","Outlook calendar sync path outside Google Calendar MVP."
"src/server/features/calendar/timezone-helpers.ts","40","1-40","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/unified-availability.test.ts","324","1-324","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/calendar/unified-availability.ts","199","1-199","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/categorize/README.md","12","1-12","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/ai-categorize-senders.ts","202","1-202","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/ai-categorize-single-sender.ts","103","1-103","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/format-categories.ts","10","1-10","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/ai/heuristics.ts","93","1-93","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/categorize/senders/categorize.ts","196","1-196","PRUNE_MVP","Auto-categorization vertical outside MVP scope."
"src/server/features/channels/README.md","18","1-18","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/conversation-key.ts","70","1-70","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/executor.ts","131","1-131","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/router.test.ts","233","1-233","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/router.ts","714","1-714","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/runtime.test.ts","43","1-43","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/runtime.ts","54","1-54","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/surface-account.ts","156","1-156","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/channels/types.ts","74","1-74","PRUNE_MVP","Cross-surface runtime layer (Slack/Discord/Telegram) outside MVP."
"src/server/features/drafts/README.md","12","1-12","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/email/README.md","27","1-27","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, outlook); refactor to Google/web-only."
"src/server/features/email/provider-types.ts","8","1-8","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft); refactor to Google/web-only."
"src/server/features/email/provider.ts","33","1-33","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, outlook); refactor to Google/web-only."
"src/server/features/email/providers/microsoft.ts","2059","1-2059","PRUNE_MVP","Outlook email provider implementation outside Gmail-only MVP."
"src/server/features/email/signature-extraction.test.ts","84","1-84","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (outlook); refactor to Google/web-only."
"src/server/features/email/signature-extraction.ts","37","1-37","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (outlook); refactor to Google/web-only."
"src/server/features/email/types.ts","307","1-307","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, outlook); refactor to Google/web-only."
"src/server/features/email/watch-manager.ts","269","1-269","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, outlook); refactor to Google/web-only."
"src/server/features/follow-up/README.md","11","1-11","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/cleanup.test.ts","167","1-167","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/cleanup.ts","114","1-114","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/generate-draft.test.ts","287","1-287","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/generate-draft.ts","150","1-150","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/labels.test.ts","320","1-320","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/follow-up/labels.ts","150","1-150","PRUNE_MVP","Follow-up reminder vertical is outside MVP scope."
"src/server/features/groups/README.md","11","1-11","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-newsletters.test.ts","43","1-43","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-newsletters.ts","42","1-42","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-receipts.test.ts","65","1-65","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/ai/find-receipts.ts","160","1-160","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/find-matching-group.test.ts","157","1-157","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/find-matching-group.ts","99","1-99","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/groups/group-item.ts","34","1-34","PRUNE_MVP","Sender grouping subsystem outside MVP scope."
"src/server/features/integrations/README.md","12","1-12","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (microsoft, slack); refactor to Google/web-only."
"src/server/features/integrations/status.ts","172","1-172","KEEP_REFACTOR_MVP","Core file is in-scope but contains non-MVP branches (outlook, slack, discord, telegram); refactor to Google/web-only."
"src/server/features/knowledge/README.md","11","1-11","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/extract-from-email-history.ts","191","1-191","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/extract.ts","120","1-120","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/persona.ts","145","1-145","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/knowledge/ai/writing-style.ts","108","1-108","PRUNE_MVP","Knowledge ingestion vertical outside MVP scope."
"src/server/features/meeting-briefs/README.md","12","1-12","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/ai/generate-briefing.test.ts","174","1-174","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/ai/generate-briefing.ts","298","1-298","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/fetch-upcoming-events.ts","65","1-65","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/gather-context.ts","261","1-261","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/process.ts","328","1-328","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/recipient-context.test.ts","495","1-495","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/meeting-briefs/recipient-context.ts","241","1-241","PRUNE_MVP","Meeting-briefs vertical is outside MVP scope."
"src/server/features/memory/ARCHITECTURE.md","484","1-484","DEFER_POST_MVP","Long-term memory subsystem is optional for MVP launch and can be deferred."
"src/server/features/memory/context-manager.test.ts","106","1-106","DEFER_POST_MVP","Long-term memory subsystem is optional for MVP launch and can be deferred."
"src/server/features/memory/context-manager.ts","758","1-758","DEFER_POST_MVP","Long-term memory subsystem is optional for MVP launch and can be deferred."
"src/server/features/memory/decay.ts","300","1-300","DEFER_POST_MVP","Long-term memory subsystem is optional for MVP launch and can be deferred."
"src/server/features/memory/embeddings/README.md","196","1-196","DEFER_POST_MVP","Long-term memory subsystem is optional for MVP launch and can be deferred."
